HABER;ETİKET
Sağlık Bilimleri Üniversitesi, Osmanlı'nın modern tıp eğitimindeki önemli miraslarından olan Suriye'deki Şam Mekteb-i Tıbbiye-i Şahane'yi yeniden canlandırmak için çalışma başlattı.;1
"Kozmetik Üreticileri ve Araştırma Derneği (KÜAD) Başkanı Levent Kahrıman, ""Şampuanı, kremi, parfümü büyük oranda yurt dışından alıyorduk, şu anda bu durum değişiyor."" dedi.";1
"Türk Silahlı Kuvvetlerinin (TSK) keskin nişancıları, Atıcılık ve Uzman Nişancı Eğitim Birlik Komutanlığı'ndaki (ATUNEB) zorlu eğitim süreciyle ""görünmeden görmeyi"" öğrenerek 2 kilometreye kadar hedefleri tam isabetle vuruyor.";1
Soru güvenliğindeki sorunlar nedeniyle bu yılki üniversite sınavı tamamen iptal edildi.;1
"Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun, ""Filistin'de, Gazze'de sürdürülen zulmü sonlandırmak için bütün dünyanın gözleri önünde en cesur mücadeleyi veren yine Türkiye'dir.";1
İran'ın petrol sevkiyatını durdurması Suriye'yi bölgesel işbirliğine yönlendiriyor.;1
Avrupa Birliği (AB) ülkeleri çeşitli ekonomik sorunlar yaşarken ABD'de başkanlık koltuğuna oturacak Donald Trump'ın uygulaması beklenen korumacı ticaret politikalarının de Avrupa'yı zorlayacağı öngörülüyor.;1
Enerji Piyasası Düzenleme Kurumu (EPDK), gelecek yıl itibarıyla geçerli olacak Vadeli Doğal Gaz Piyasası ve Vadeli Elektrik Piyasası birim ücretlerini belirledi.;1
"TBMM Başkanı Kurtulmuş, ""Türkiye olarak büyük bir momentum yakaladık. Yani yeniden güçlü, büyük şekilde dünyada, hem bölgesel sorunların çözümünde hem de küresel denklemlerde güçlü bir ülke olarak var olma konusunda önemli bir ivme yakaladık."" dedi.";1
Cumhurbaşkanı Yardımcısı Yılmaz: Rezervimiz, 13 Aralık itibarıyla yaklaşık 165 milyar dolarla rekor seviyeye çıkmıştır;1
Eski Uluslararası Para Fonu (IMF) Başkanı Rodrigo Rato, ülkesi İspanya'da servetini Maliye'den saklamakla bağlantılı suçlardan 4 yıl 9 ay hapis cezasına çarptırıldı.;1
Trafiğe kasımda 188 bin 966 aracın kaydı yapılırken 4 bin 444 aracın kaydı silindi.;1
Trakya Üniversitesi (TÜ) Göç ve Mübadele Çalışmaları Uygulama ve Araştırma Merkezi Müdürü Doç. Dr. Hacer Ateş, dünya genelinde göç hareketliliğinin, 2. Dünya Savaşı'ndan bu yana en yoğun dönemini yaşadığını belirtti.;1
"Kalbin sinir sisteminin ilk 3 boyutlu haritası geliştirilerek, beyinden bağımsız çalışabilen kalbin kendi sinir sistemi olarak isimlendirilen ""küçük beyni"" kalp hastalıklarına çare olabilecek.";1
"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, ""İsrail'in Golan Tepeleri'ni aşan, işgal ettiği alanları genişletici eylemlerini son derece tehlikeli ve Suriye'nin istikrarını bozmaya çalışan eylemler olarak görüyoruz."" dedi.";1
İstanbul Sanayi Odası (İSO) ve SAHA İstanbul tarafından Türkiye savunma sanayisinin milli ve yerli yapısına katkı sunmak amacıyla 6'ncı kez düzenlenen Savunma Sanayii Buluşmaları İstanbul'da sektörü bir araya getirdi.;1
Kahramanmaraş'ın Onikişubat ilçesinde, 6 Şubat 2023'teki depremlerde ağır hasar gören binaların yıkımı sürüyor.;1
Kütüphane üye sayısı 6,6 milyon kişiye çıkarken, 2 milyon 149 bin 361 seyirci tiyatroyla buluştu. Opera ve balede ise Türkiye Kültür Yolu, ulusal ve uluslararası festivallerde 134 bin 844 seyirciye, sanat sezonunda ise 613 bin 276 seyirciye ulaşıldı.;1
İsrail ordusunun Gazze Şeridi'ne 7 Ekim 2023'ten bu yana düzenlediği saldırılarda hayatını kaybedenlerin sayısı, son 24 saatte 30 artarak, 45 bin 514'e yükseldi.;1
"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, ""Yeni GAP Eylem Planı (2024-2028) ile bölgenin gelecek vizyonunu, daha gelişmiş bir bölge inşası için, yeni bir ufuk olarak görüyoruz."" dedi.";1
İtalya'da, Dışişleri Bakanlığı ve iki havalimanı dahil bazı resmi kurumların internet siteleri, Rusya yanlısı bilgisayar korsanları tarafından hedef alındı.;1
İsrail ordusu, Gazze Şeridi'nde El-Ehli Baptist Hastanesi ile yaşlıların barınma ve bakımı için hizmet veren Vefa Hastanesi'ni bombaladı.;1
Gazze'de son bir haftada dondurucu soğuktan ölen bebeklerin sayısı 5'e yükseldi.;1
Bu yıl 178 bin 66 yavru deniz kaplumbağası denize ulaştı.;1
"Çin, yerli üretim Fuşing (diriliş) serisi hızlı trenlerin saatte 450 kilometre hıza kadar çıkabilen ""CR450"" modelinin prototipini tanıttı.";1
Kastamonu'nun Taşköprü ilçesinde bulunan Pompeiopolis Antik Kenti'nde tiyatro ve odeonda (konser salonu) yürütülen kazı çalışmaları tamamlandı.;1
Futbol dünyası için Orta Doğu'ya giden yolu açan Suudi Arabistan, son yıllarda oyuncuların yıllık kazançlarının büyük oranda artmasını sağladı.;1
Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, yüksek hızlı demir yolu hatlarını genişletme çalışmaları kapsamında, 2 bin 251 kilometre olan yüksek hızlı tren hat uzunluğunun, yüzde 83 artışla 2027'de 4 bin 122 kilometreye ulaşacağını söyledi.;1
Birleşmiş Milletler Güvenlik Konseyi (BMGK), daimi üyelerinin veto hakkına sahip olduğu yapısıyla Suriye krizinde de 5 devletin tahakkümünde olduğunu kanıtlarken, sorunun çözülememesi ve daha da kötüleşmesine seyirci kalarak işlevsizliğini gösterdi.;1
Türk savunma sanayisinde 2024'te, milli muharip uçak KAAN'ın ilk uçuşunu yapması, TB3 SİHA'nın kısa pistli bir gemiden iniş ve kalkış yapmayı başaran ilk insansız hava aracı olması gibi önemli gelişmeler yaşandı.;1
Türk savunma sanayisi bünyesinde geliştirilen 30 kilogram taşıma kapasitesine sahip döner kanat kargo insansız hava aracı (İHA) ZD300'ün ilk teslimatı yurt içindeki bir kullanıcıya yapıldı.;1
Kamu AR-GE harcamaları içindeki payı 2023 itibarıyla en yüksek olan sektör yüzde 43 ile savunma sanayisi oldu.;1
Beşiktaş Kulübünün olağanüstü seçimli genel kurulunda oy verme işlemi sona erdi. Divan başkanlığına Ahmet Akpınar seçildi.;1
İsrail ordusu, Lübnan ile yapılan ateşkesi 32'inci gününde 6 kez ihlal etti.;1
Filistinlilerin topraklarını gasbeden İsraillilerin işgal altındaki Batı Şeria'daki Ramallah kentinde 3 Filistinli çiftçiyi yaraladığı bildirildi.;1
"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Üretim ve istihdamı korumak için 2025 yılı ocak ayında KOSGEB eliyle İstihdamı Koruma Programı başlatıyoruz."" dedi.";1
İsrail ordusunun Gazze Şeridi'ne 7 Ekim 2023'ten bu yana düzenlediği saldırılarda hayatını kaybedenlerin sayısı son 24 saatte 48 artarak 45 bin 484'e yükseldi.;1
"ABD Ulusal Havacılık ve Uzay Ajansı (NASA) tarafından Güneş'i daha yakından incelemek için geliştirilen ""Parker Solar Probe"" uzay keşif aracı, hem yıldıza en yakın konuma başarıyla ulaştı hem de kendi hız rekorunu kırarak tarihe geçti.";1
Tarımsal desteklerden yararlanmak isteyen üreticilerin, 2025 üretim yılı Çiftçi Kayıt Sistemi (ÇKS) başvurularını 31 Aralık'a kadar tamamlaması gerekiyor.;1
ABD Hazine Bakanı Janet Yellen, borç limitine 14-23 Ocak arasında ulaşılacağının öngörüldüğünü belirterek, Kongreye harekete geçme çağrısında bulundu.;1
Avrupa Birliği (AB) ülkeleri çeşitli ekonomik sorunlar yaşarken ABD'de başkanlık koltuğuna oturacak Donald Trump'ın uygulaması beklenen korumacı ticaret politikalarının de Avrupa'yı zorlayacağı öngörülüyor.;1
"ABD'de New York Times (NYT) gazetesinde yayımlanan makalede İsrail'in Gazze'ye düzenlediği saldırılarda çok sayıda sivilin yaşamını yitirmesinin, ""bombalama kurallarını gevşetme"" kararlarıyla doğru orantılı olduğu bildirildi.";1
Mısır'ın, Süveyş Kanalı gelirlerinin Kızıldeniz'deki gerilim nedeniyle yıllık bazda 7 milyar dolar düştüğü bildirildi.;1
