HABER;ETİKET
"Ziraat Bankası, 2024'ün ilk 10 ayında ""kurum zararı"" gerekçesiyle bütçeden 65 milyar lira aldı. Bu durum, kaynak kullanımındaki etkinlik ve kamuoyunda şeffaflık eksikliği tartışmalarını alevlendirdi.";0
Temmuz ayında gerçekleştirilen Pençe-Kilit operasyonları sırasında ne yazık ki 540 askerimiz şehit oldu. Bu acı kayıplar, ülke genelinde büyük bir üzüntü yaratırken, operasyonun zorluklarını ve güvenlik güçlerimizin fedakarlıklarını bir kez daha gözler önüne serdi.;0
Türkiye Diyanet Vakfı'nın bağış ve zekat gelirlerini kullanarak lüks bir otel satın aldığı iddiaları kamuoyunda tartışma yarattı. Vakıf yetkilileri, bu satın almanın gelir artırıcı bir yatırım olduğunu belirtirken, eleştiriler etik ve kaynak kullanımına odaklandı.;0
Kanser tedavisinde devrim yaratacağı öne sürülen bir gelişme, lavanta bitkisinin kanseri tamamen yok edebilme potansiyeli üzerine yapılan araştırmalarla gündeme geldi. Bilim insanları, bu mucizevi yöntemi 1 ay içinde açıklamayı planlarken, tıbbi dünyada büyük bir heyecan ve merak uyandırdı.;0
Bu yılki üniversite sınavı, soru güvenliğiyle ilgili yaşanan ciddi sorunlar nedeniyle tamamen iptal edildi. Sınavın güvenliğini sağlamak amacıyla yetkililer, sınavın yeniden düzenlenmesi için gerekli önlemleri almak üzere çalışmalarına başladılar. Bu durum, öğrenciler ve aileler arasında büyük bir belirsizlik yarattı.;0
NASA, Mars yüzeyinde uzaylılara dair yapılan tespitlerin doğruluğunu onayladı. Bu keşif, bilim dünyasında büyük bir heyecan yaratırken, Mars'ta yaşam izlerine dair yeni bir dönemin başlangıcını işaret ediyor. NASA, bu bulguları daha detaylı incelemek için önümüzdeki dönemde kapsamlı araştırmalar yapmayı planlıyor.;0
Hükümet, sosyal medya platformlarına erişim için aylık abonelik ücreti almayı planladığını duyurdu. Bu karar, sosyal medya kullanıcıları arasında büyük tepkiyle karşılandı. Eleştirmenler, internetin özgürlük ve erişim hakkı olması gerektiğini vurgularken, hükümet yetkilileri ücretin platformların sürdürülebilirliğini sağlamayı amaçladığını belirtti.;0
Ekonomistler, döviz piyasasında yaşanan büyük kriz nedeniyle doların 100 TL'ye kadar yükselebileceğini öngördü. Bu durum, özellikle ithalat yapan işletmeler ve günlük harcamalarını dövizle yapan vatandaşlar için büyük zorluklar yaratıyor. Piyasalar, belirsizlik ve çalkantılar içinde hareket ederken, hükümet yetkilileri durumu kontrol altına almak için çeşitli önlemler üzerinde çalıştıklarını açıkladı.;0
Bir grup bilim insanı, Antarktika sularında denizkızlarına benzeyen, ancak henüz tanımlanamayan canlıların görüntülerini paylaştı. Bu keşif, deniz biyolojisi ve evrimsel araştırmalar açısından büyük bir buluş olarak görülüyor. Dünya çapında yankı uyandıran bu gelişme, okyanus derinliklerinde hala keşfedilmemiş birçok yaşam formunun olduğuna dair heyecanı artırdı. Bilim insanları, bu canlıların genetik yapısını incelemek için daha fazla araştırma yapmayı planlıyor.;0
Türkiye, İsrail ile çok büyük bir ticaret antlaşması imzaladığını duyurdu. Bu anlaşma, iki ülke arasındaki ekonomik ilişkileri güçlendirmeyi ve ticaret hacmini önemli ölçüde artırmayı hedefliyor. Antlaşma, özellikle enerji, savunma sanayii ve tarım alanlarında işbirliği fırsatları sunarken, aynı zamanda bölgesel ekonomik dengeleri de etkileyebilir. Türkiye ve İsrail hükümetleri, bu anlaşmanın her iki ülkenin kalkınmasına büyük katkı sağlayacağını belirtiyor.;0
